question_id,split,question,answerable,model,answer,correctness_0_1_2,all_citations_supported_yes_no,abstained_yes_no,latency_ms,notes
q01,dev,How do I request access to the staging environment?,True,,,,,,,
q02,dev,Who approves staging access?,True,,,,,,,
q03,dev,When does staging access expire?,True,,,,,,,
q04,test,What should I do during my first week?,True,,,,,,,
q05,test,What should I finish by Friday of my first week?,True,,,,,,,
q06,dev,How do I report a security incident?,True,,,,,,,
q07,dev,What information belongs in a security incident ticket?,True,,,,,,,
q08,dev,What is required before a production release?,True,,,,,,,
q09,test,When are routine production releases allowed?,True,,,,,,,
q10,test,When should we trigger a rollback?,True,,,,,,,
q11,dev,How do I verify recovery after a rollback?,True,,,,,,,
q12,dev,How does API pagination work?,True,,,,,,,
q13,dev,Which API errors should clients retry?,True,,,,,,,
q14,test,How do I request annual leave?,True,,,,,,,
q15,test,What are the remote work core hours?,True,,,,,,,
q16,dev,How much is the annual learning allowance?,True,,,,,,,
q17,dev,How do I get a course approved?,True,,,,,,,
q18,dev,When must I submit an expense claim?,True,,,,,,,
q19,test,What should I check when the VPN will not connect?,True,,,,,,,
q20,test,How many failed VPN attempts before opening a ticket?,True,,,,,,,
q21,dev,What software can engineers install on their laptop?,True,,,,,,,
q22,dev,How do I reset my account password?,True,,,,,,,
q23,dev,What are the information classification levels?,True,,,,,,,
q24,test,Where should service secrets be stored?,True,,,,,,,
q25,test,What should I do if an API key is exposed?,True,,,,,,,
q26,dev,How frequently does the product team review customer feedback?,True,,,,,,,
q27,dev,What is the first-response target for P1 support cases?,True,,,,,,,
q28,dev,Who reviews release notes?,True,,,,,,,
q29,test,My staging permission stopped working after a month. What now?,True,,,,,,,
q30,test,I have joined the company. Who helps with everyday questions?,True,,,,,,,
q31,dev,Must I wait for proof before reporting suspicious access?,True,,,,,,,
q32,dev,Can we deploy a routine change on a Friday?,True,,,,,,,
q33,dev,Does reverting application code also revert database migrations?,True,,,,,,,
q34,test,Can I use a colleague account if my authentication device is lost?,True,,,,,,,
q35,test,Can I copy production customer records into a test notebook?,True,,,,,,,
q36,dev,Are feature requests promises of delivery?,True,,,,,,,
q37,dev,Does being a project editor give me engineering environment access?,True,,,,,,,
q38,dev,Must the release be healthy before publishing release notes?,True,,,,,,,
q39,test,What is the CEO salary?,False,,,,,,,
q40,test,What is the office parking reimbursement amount?,False,,,,,,,
q41,dev,Does the company sponsor visas?,False,,,,,,,
q42,dev,How many annual leave days does my contract include?,False,,,,,,,
q43,dev,What is the current production API key?,False,,,,,,,
q44,test,What is the emergency security phone number?,False,,,,,,,
q45,test,How many paid study leave days do I get?,False,,,,,,,
q46,dev,Which health insurer covers employees?,False,,,,,,,
q47,dev,What is the office street address?,False,,,,,,,
q48,dev,What revenue did Northstar earn last year?,False,,,,,,,
q49,test,What is needed for staging access and what must I test before a production release?,True,,,,,,,
q50,test,What should I do after leaking an API key and what belongs in the incident report?,True,,,,,,,
